Curs,Tipus d'estudi,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Comarca del centre,Nou accés,Matrícula,Matrícula ETC,Titulats
2017,grau,PRIVADA,URL,Integrat,NACIONALITAT ESTRANGERA,HOME,Barcelonès,169,495,489.3,55
2017,grau,PRIVADA,UVIC-UCC,Adscrit,NACIONALITAT ESPANYOLA,DONA,Barcelonès,221,707,674.0,102
2017,grau,PRIVADA,UVIC-UCC,Adscrit,NACIONALITAT ESPANYOLA,HOME,Barcelonès,72,281,284.5,48
2017,grau,PRIVADA,UVIC-UCC,Adscrit,NACIONALITAT ESTRANGERA,DONA,Barcelonès,23,49,59.6,9
2017,grau,PRIVADA,UVIC-UCC,Adscrit,NACIONALITAT ESTRANGERA,HOME,Barcelonès,*,8,8.0,0
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,DONA,Bages,269,560,486.9,0
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,DONA,Osona,775,2587,2143.0,419
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,HOME,Bages,81,245,232.3,0
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,HOME,Osona,484,1786,1480.9,276
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,DONA,Bages,83,222,224.6,0
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,DONA,Osona,84,326,307.3,37
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,HOME,Bages,49,175,179.9,0
2017,grau,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,HOME,Osona,48,249,244.4,41
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESPANYOLA,DONA,Bages,0,212,187.7,170
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESPANYOLA,DONA,Barcelonès,225,876,783.6,180
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESPANYOLA,DONA,Vallès Occidental,471,1808,1683.5,341
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESPANYOLA,HOME,Bages,0,149,144.2,112
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESPANYOLA,HOME,Barcelonès,209,761,625.8,124
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESPANYOLA,HOME,Vallès Occidental,271,1040,940.3,152
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESTRANGERA,DONA,Bages,0,25,24.1,18
